question,answer,tech_accuracy,confidence
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",67,49
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",65,42
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",66,43
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",83,37
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",94,100
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",51,50
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",50,53
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",55,53
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",93,84
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,34,59
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,95,95
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,41,41
Explain the concept of REST APIs.,It's an API that lets you download data. ,28,31
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,31,4
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,84,79
Explain the concept of REST APIs.,It's an API that lets you download data. ,45,37
What is normalization in a database?,It makes the database normal and easy to read. ,42,37
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",69,48
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",92,73
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",53,29
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",88,91
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,32,30
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,21,69
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",63,48
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",65,42
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,91,92
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",95,89
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",55,45
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",67,54
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",63,52
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",97,72
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",57,43
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,31,35
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",68,33
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",59,64
What is normalization in a database?,It makes the database normal and easy to read. ,37,41
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",61,41
